ID,tool,level
17,Linux,Both
17,MacOS,
17,Microsoft Azure,
17,Raspberry Pi,
17,Windows,
17,WordPress,
17,Angular,
17,ASP.NET,
17,Django,
17,Express,
17,jQuery,
17,Laravel,
17,React.js,
17,Ruby on Rails,
17,Vue.js,
17,Spring,
17,.NET,
17,.NET Core,
17,Flutter,
17,Node.js,
17,Puppet,
17,React Native,
17,Deno.js,
17,GitHub,Both
17,GitLab,
17,Facebook Workplace,
17,Slack,Both
17,Microsoft Teams,
17,Microsoft Azure2,
17,Trello,
17,"Google Suite (Docs, Meet, etc)",
17,Stack Overflow for Teams,
17,Jira,
18,C,
18,C#,
18,C++,
18,HTML/CSS,Both
18,Java,
18,JavaScript,Both
18,Kotlin,
18,PHP,
18,Python,Both
18,Ruby,
18,SQL,Both
18,Swift,
18,TypeScript,Want to work with NEXT year
18,Android,
18,Arduino,Both
18,AWS,
18,Docker,Both
18,Google Cloud Platform,
18,Heroku,Worked with in PAST year
18,IBM Cloud or Watson,
18,iOS,
18,Linux,Both
18,MacOS,
18,Microsoft Azure,
18,Raspberry Pi,
18,Windows,Both
18,WordPress,Worked with in PAST year
18,Angular,
18,ASP.NET,
18,Django,Both
18,Express,Want to work with NEXT year
18,jQuery,
18,Laravel,
18,React.js,Both
18,Ruby on Rails,
18,Vue.js,Worked with in PAST year
18,Spring,
18,.NET,
18,.NET Core,
18,Flutter,Want to work with NEXT year
18,Node.js,Want to work with NEXT year
18,Puppet,
18,React Native,
18,Deno.js,
18,GitHub,Both
18,GitLab,
18,Facebook Workplace,
18,Slack,Both
18,Microsoft Teams,
18,Microsoft Azure2,
18,Trello,Both
18,"Google Suite (Docs, Meet, etc)",
18,Stack Overflow for Teams,
18,Jira,
19,C,
19,C#,
19,C++,
19,HTML/CSS,Both
19,Java,
19,JavaScript,Both
19,Kotlin,
19,PHP,Worked with in PAST year
19,Python,Want to work with NEXT year
19,Ruby,
19,SQL,Both
19,Swift,
19,TypeScript,Want to work with NEXT year
19,Android,Worked with in PAST year
19,Arduino,Want to work with NEXT year
19,AWS,Want to work with NEXT year
19,Docker,Want to work with NEXT year
19,Google Cloud Platform,Worked with in PAST year
19,Heroku,Both
19,IBM Cloud or Watson,Worked with in PAST year
19,iOS,Want to work with NEXT year
19,Linux,Both
19,MacOS,
19,Microsoft Azure,
19,Raspberry Pi,Want to work with NEXT year
19,Windows,Both
19,WordPress,
19,Angular,
19,ASP.NET,
19,Django,Worked with in PAST year
19,Express,Both
19,jQuery,Worked with in PAST year
